epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,321.064,0.52726,2.33478,1.13327,0.74513,0.80114,0.78517,0.70509,0.42901,1.36045,0.56995,0.000414062,0.000414062,0.000414062
2,629.992,0.40821,1.26181,1.04323,0.74885,0.77235,0.85212,0.83768,0.26341,1.1881,0.46895,0.000822438,0.000822438,0.000822438
3,934.724,0.38587,1.12798,1.02252,0.84134,0.87424,0.92721,0.89214,0.30934,0.85132,0.51284,0.0012225,0.0012225,0.0012225
4,1267.1,0.36583,1.04578,1.00755,0.82269,0.56065,0.68549,0.64487,0.30909,1.23136,0.51795,0.00121258,0.00121258,0.00121258
5,1583.07,0.34377,0.97799,0.99302,0.84026,0.80907,0.90944,0.8942,0.18727,0.82761,0.47098,0.0012001,0.0012001,0.0012001
6,1902.11,0.31767,0.95381,0.98518,0.88348,0.85713,0.93985,0.92566,0.291,0.69032,0.48757,0.00118762,0.00118762,0.00118762
7,2207.24,0.29105,0.89767,0.97664,0.79325,0.79564,0.88917,0.87329,0.21613,0.93438,0.46213,0.00117515,0.00117515,0.00117515
8,2545.72,0.28667,0.85669,0.97004,0.83984,0.85282,0.92959,0.90801,0.20245,0.77653,0.45907,0.00116267,0.00116267,0.00116267
9,2858.11,0.29058,0.86645,0.97422,0.72559,0.72285,0.81227,0.79385,0.19453,1.27156,0.46475,0.0011502,0.0011502,0.0011502
10,3171.49,0.28145,0.83918,0.96965,0.87715,0.87421,0.96594,0.95579,0.26642,0.68776,0.48172,0.00113773,0.00113773,0.00113773
11,3476.03,0.24996,0.7927,0.95193,0.89837,0.89342,0.96561,0.96386,0.16259,0.4602,0.44233,0.00112525,0.00112525,0.00112525
12,3790.28,0.25491,0.77571,0.95502,0.88811,0.89143,0.95028,0.94685,0.15303,0.56611,0.43784,0.00111278,0.00111278,0.00111278
13,4096.65,0.24175,0.75911,0.94525,0.93686,0.93161,0.97846,0.97491,0.14724,0.33238,0.43195,0.0011003,0.0011003,0.0011003
14,4405.58,0.24886,0.74861,0.94941,0.94087,0.93705,0.98156,0.98032,0.14413,0.38972,0.42824,0.00108783,0.00108783,0.00108783
15,4710.21,0.2359,0.72686,0.94537,0.91649,0.9178,0.98081,0.97769,0.13228,0.40269,0.43199,0.00107535,0.00107535,0.00107535
16,5012.36,0.22957,0.70972,0.9413,0.93812,0.92112,0.97957,0.97724,0.16758,0.46224,0.43745,0.00106288,0.00106288,0.00106288
17,5315.53,0.22346,0.70674,0.94166,0.88704,0.90657,0.95142,0.93777,0.21477,0.5782,0.45635,0.0010504,0.0010504,0.0010504
18,5618.75,0.22112,0.70195,0.93796,0.88768,0.83128,0.95468,0.95278,0.15707,0.6513,0.42721,0.00103792,0.00103792,0.00103792
19,5921.04,0.22402,0.70542,0.94281,0.92612,0.93821,0.98406,0.98229,0.1925,0.37715,0.44972,0.00102545,0.00102545,0.00102545
20,6223.94,0.22027,0.67743,0.93551,0.84735,0.87388,0.96388,0.96116,0.18037,0.6703,0.44327,0.00101298,0.00101298,0.00101298
21,6524.27,0.20924,0.63948,0.92931,0.94262,0.92545,0.98451,0.98381,0.15296,0.39046,0.43792,0.0010005,0.0010005,0.0010005
22,6825.82,0.20671,0.6732,0.94292,0.95685,0.9614,0.98868,0.9614,0.17543,0.3387,0.44527,0.000988025,0.000988025,0.000988025
23,7129.56,0.2091,0.65836,0.93397,0.93528,0.89787,0.98037,0.97174,0.15036,0.43108,0.44507,0.00097555,0.00097555,0.00097555
24,7432.33,0.21103,0.66539,0.93788,0.94662,0.94364,0.9881,0.98722,0.11939,0.40251,0.42924,0.000963075,0.000963075,0.000963075
25,7733.3,0.20567,0.64251,0.93086,0.94854,0.96439,0.98807,0.98415,0.15832,0.32225,0.43901,0.0009506,0.0009506,0.0009506
26,8032.41,0.19385,0.61134,0.92376,0.93724,0.95062,0.98545,0.98397,0.14928,0.34585,0.42786,0.000938125,0.000938125,0.000938125
27,8333.28,0.19529,0.62943,0.92875,0.94686,0.94723,0.98775,0.98635,0.10398,0.30184,0.41176,0.00092565,0.00092565,0.00092565
28,8635.89,0.18774,0.62545,0.92677,0.95936,0.95721,0.9899,0.98948,0.10876,0.31819,0.41104,0.000913175,0.000913175,0.000913175
29,8937.76,0.19007,0.62697,0.9287,0.93749,0.93629,0.98606,0.98466,0.14098,0.32118,0.42407,0.0009007,0.0009007,0.0009007
30,9238.91,0.18434,0.592,0.92519,0.97921,0.97275,0.99241,0.99228,0.13484,0.24234,0.41438,0.000888225,0.000888225,0.000888225
31,9543.37,0.18987,0.61443,0.92527,0.96119,0.96562,0.99032,0.9856,0.13533,0.32163,0.42568,0.00087575,0.00087575,0.00087575
32,9946.78,0.18034,0.58968,0.91965,0.9522,0.95121,0.98681,0.986,0.13674,0.3044,0.41593,0.000863275,0.000863275,0.000863275
33,10337.8,0.17276,0.59837,0.91922,0.95565,0.95925,0.99158,0.99041,0.1228,0.25556,0.41122,0.0008508,0.0008508,0.0008508
34,10706.6,0.17619,0.57644,0.92093,0.97517,0.96319,0.99154,0.991,0.12018,0.2706,0.41752,0.000838325,0.000838325,0.000838325
35,11036.5,0.17243,0.55609,0.91524,0.95839,0.95974,0.99022,0.98915,0.12157,0.25608,0.41366,0.00082585,0.00082585,0.00082585
36,11502.8,0.17437,0.57438,0.91645,0.92141,0.92954,0.97761,0.97185,0.13497,0.44182,0.4327,0.000813375,0.000813375,0.000813375
37,11926.8,0.16883,0.57198,0.91401,0.93604,0.94624,0.98596,0.97814,0.15535,0.33163,0.44669,0.0008009,0.0008009,0.0008009
38,12345.2,0.16291,0.54229,0.91166,0.80501,0.9896,0.95261,0.95138,0.11724,0.40746,0.41889,0.000788425,0.000788425,0.000788425
39,12743.6,0.16212,0.55749,0.91361,0.91028,0.93066,0.98671,0.98597,0.10511,0.3452,0.40779,0.00077595,0.00077595,0.00077595
40,13101.8,0.15745,0.54014,0.90831,0.96193,0.95953,0.99143,0.99052,0.11033,0.28009,0.41906,0.000763475,0.000763475,0.000763475
41,13438.8,0.15363,0.53227,0.91336,0.93237,0.93694,0.98355,0.98224,0.12979,0.37369,0.41387,0.000751,0.000751,0.000751
42,13818.6,0.16198,0.54403,0.91688,0.97508,0.96483,0.99326,0.99252,0.1302,0.28879,0.42025,0.000738525,0.000738525,0.000738525
43,14230.5,0.15278,0.51379,0.9093,0.91427,0.93712,0.97972,0.97935,0.12252,0.42389,0.41936,0.00072605,0.00072605,0.00072605
44,14678.1,0.15275,0.52084,0.91345,0.9699,0.9685,0.99102,0.9888,0.09966,0.27851,0.41585,0.000713575,0.000713575,0.000713575
45,15110.3,0.15076,0.53714,0.90799,0.98301,0.98543,0.99395,0.99351,0.09155,0.21643,0.40608,0.0007011,0.0007011,0.0007011
46,15544.4,0.15839,0.52807,0.91287,0.97937,0.97466,0.9936,0.99352,0.11466,0.18895,0.40669,0.000688625,0.000688625,0.000688625
47,15934.8,0.15712,0.52468,0.91456,0.98039,0.98152,0.99354,0.99302,0.10239,0.22468,0.40885,0.00067615,0.00067615,0.00067615
48,16231.6,0.15406,0.52226,0.91173,0.97535,0.9858,0.99293,0.99211,0.10468,0.25074,0.40652,0.000663675,0.000663675,0.000663675
49,16537.5,0.14542,0.49743,0.90372,0.97125,0.98381,0.99351,0.99296,0.09025,0.21482,0.40497,0.0006512,0.0006512,0.0006512
50,16861.8,0.14442,0.48877,0.91155,0.98336,0.9857,0.99422,0.99409,0.09302,0.20969,0.39744,0.000638725,0.000638725,0.000638725
51,17188.7,0.14247,0.49548,0.90775,0.96859,0.97118,0.99221,0.99163,0.09062,0.2327,0.40373,0.00062625,0.00062625,0.00062625
